nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-09-13;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-09-14;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-09-15;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;21;microg/m3;"moyenne journalière";V;2019-09-16;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;;;"moyenne journalière";;2019-09-17;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;;;"moyenne journalière";;2019-09-18;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;;;"moyenne journalière";;2019-09-19;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;27;microg/m3;"moyenne journalière";V;2019-09-20;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;22;microg/m3;"moyenne journalière";V;2019-09-21;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2019-09-22;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-09-23;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-09-24;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2019-09-25;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;23;microg/m3;"moyenne journalière";V;2019-09-26;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;19;microg/m3;"moyenne journalière";V;2019-09-27;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;16;microg/m3;"moyenne journalière";V;2019-09-28;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2019-09-29;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-09-30;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-10-01;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-10-02;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;11;microg/m3;"moyenne journalière";V;2019-10-03;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;26;microg/m3;"moyenne journalière";V;2019-10-04;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;19;microg/m3;"moyenne journalière";V;2019-10-05;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;16;microg/m3;"moyenne journalière";V;2019-10-06;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;13;microg/m3;"moyenne journalière";V;2019-10-07;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-10-08;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-10-09;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-10-10;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2019-10-11;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;17;microg/m3;"moyenne journalière";V;2019-10-12;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;18;microg/m3;"moyenne journalière";V;2019-10-13;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2019-10-14;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-10-15;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;10;microg/m3;"moyenne journalière";V;2019-10-16;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;8;microg/m3;"moyenne journalière";V;2019-10-17;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-10-18;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;9;microg/m3;"moyenne journalière";V;2019-10-19;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;8;microg/m3;"moyenne journalière";V;2019-10-20;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;11;microg/m3;"moyenne journalière";V;2019-10-21;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2019-10-22;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;20;microg/m3;"moyenne journalière";V;2019-10-23;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;13;microg/m3;"moyenne journalière";V;2019-10-24;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;16;microg/m3;"moyenne journalière";V;2019-10-25;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;13;microg/m3;"moyenne journalière";V;2019-10-26;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;11;microg/m3;"moyenne journalière";V;2019-10-27;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;13;microg/m3;"moyenne journalière";V;2019-10-28;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-10-29;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-10-30;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;17;microg/m3;"moyenne journalière";V;2019-10-31;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;9;microg/m3;"moyenne journalière";V;2019-11-01;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;13;microg/m3;"moyenne journalière";V;2019-11-02;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;11;microg/m3;"moyenne journalière";V;2019-11-03;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-11-04;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;10;microg/m3;"moyenne journalière";V;2019-11-05;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;11;microg/m3;"moyenne journalière";V;2019-11-06;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;10;microg/m3;"moyenne journalière";V;2019-11-07;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;16;microg/m3;"moyenne journalière";V;2019-11-08;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;16;microg/m3;"moyenne journalière";V;2019-11-09;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;20;microg/m3;"moyenne journalière";V;2019-11-10;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;21;microg/m3;"moyenne journalière";V;2019-11-11;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;23;microg/m3;"moyenne journalière";V;2019-11-12;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;20;microg/m3;"moyenne journalière";V;2019-11-13;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;17;microg/m3;"moyenne journalière";V;2019-11-14;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;18;microg/m3;"moyenne journalière";V;2019-11-15;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;16;microg/m3;"moyenne journalière";V;2019-11-16;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;18;microg/m3;"moyenne journalière";V;2019-11-17;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;27;microg/m3;"moyenne journalière";V;2019-11-18;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;23;microg/m3;"moyenne journalière";V;2019-11-19;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;17;microg/m3;"moyenne journalière";V;2019-11-20;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-11-21;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;8;microg/m3;"moyenne journalière";V;2019-11-22;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2019-11-23;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;17;microg/m3;"moyenne journalière";V;2019-11-24;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-11-25;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-11-26;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;16;microg/m3;"moyenne journalière";V;2019-11-27;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;15;microg/m3;"moyenne journalière";V;2019-11-28;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;18;microg/m3;"moyenne journalière";V;2019-11-29;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;12;microg/m3;"moyenne journalière";V;2019-11-30;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-09-01;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-09-02;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;13;microg/m3;"moyenne journalière";V;2019-09-03;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;17;microg/m3;"moyenne journalière";V;2019-09-04;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;13;microg/m3;"moyenne journalière";V;2019-09-05;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;15;microg/m3;"moyenne journalière";V;2019-09-06;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;9;microg/m3;"moyenne journalière";V;2019-09-07;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;9;microg/m3;"moyenne journalière";V;2019-09-08;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-09-09;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-09-10;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-09-11;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-09-12;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;6;microg/m3;"moyenne journalière";B;2019-09-13;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;10;microg/m3;"moyenne journalière";V;2019-09-14;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-09-15;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-09-16;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;9;microg/m3;"moyenne journalière";V;2019-09-17;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;22;microg/m3;"moyenne journalière";V;2019-09-18;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;21;microg/m3;"moyenne journalière";V;2019-09-19;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;21;microg/m3;"moyenne journalière";V;2019-09-20;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;18;microg/m3;"moyenne journalière";V;2019-09-21;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;14;microg/m3;"moyenne journalière";V;2019-09-22;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-09-23;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-09-24;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;17;microg/m3;"moyenne journalière";V;2019-09-25;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;25;microg/m3;"moyenne journalière";V;2019-09-26;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;19;microg/m3;"moyenne journalière";V;2019-09-27;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-09-28;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-09-29;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-09-30;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;17;microg/m3;"moyenne journalière";V;2019-10-01;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;8;microg/m3;"moyenne journalière";V;2019-10-02;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;7;microg/m3;"moyenne journalière";V;2019-10-03;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;23;microg/m3;"moyenne journalière";V;2019-10-04;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-10-05;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-10-06;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;9;microg/m3;"moyenne journalière";V;2019-10-07;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-10-08;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-10-09;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-10-10;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-10-11;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;13;microg/m3;"moyenne journalière";V;2019-10-12;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-10-13;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-10-14;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;15;microg/m3;"moyenne journalière";V;2019-10-15;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;8;microg/m3;"moyenne journalière";V;2019-10-16;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-10-17;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-10-18;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;10;microg/m3;"moyenne journalière";V;2019-10-19;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-10-20;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-10-21;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-10-22;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-10-23;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-10-24;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-10-25;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;14;microg/m3;"moyenne journalière";V;2019-10-26;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;3;microg/m3;"moyenne journalière";V;2019-10-27;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-10-28;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;17;microg/m3;"moyenne journalière";V;2019-10-29;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-10-30;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;13;microg/m3;"moyenne journalière";V;2019-10-31;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-11-01;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2019-11-02;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-11-03;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;18;microg/m3;"moyenne journalière";V;2019-11-04;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;8;microg/m3;"moyenne journalière";V;2019-11-05;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;8;microg/m3;"moyenne journalière";V;2019-11-06;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;9;microg/m3;"moyenne journalière";V;2019-11-07;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;6;microg/m3;"moyenne journalière";V;2019-11-08;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;8;microg/m3;"moyenne journalière";V;2019-11-09;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-11-10;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;13;microg/m3;"moyenne journalière";V;2019-11-11;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;11;microg/m3;"moyenne journalière";V;2019-11-12;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;10;microg/m3;"moyenne journalière";V;2019-11-13;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;7;microg/m3;"moyenne journalière";V;2019-11-14;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-11-15;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;10;microg/m3;"moyenne journalière";V;2019-11-16;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;18;microg/m3;"moyenne journalière";V;2019-11-17;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;23;microg/m3;"moyenne journalière";V;2019-11-18;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;20;microg/m3;"moyenne journalière";V;2019-11-19;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2019-11-20;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-11-21;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;6;microg/m3;"moyenne journalière";V;2019-11-22;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;10;microg/m3;"moyenne journalière";V;2019-11-23;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-11-24;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;13;microg/m3;"moyenne journalière";V;2019-11-25;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;13;microg/m3;"moyenne journalière";V;2019-11-26;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;19;microg/m3;"moyenne journalière";V;2019-11-27;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;18;microg/m3;"moyenne journalière";V;2019-11-28;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;12;microg/m3;"moyenne journalière";V;2019-11-29;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;10;microg/m3;"moyenne journalière";V;2019-11-30;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-09-01;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-02;UTC
Vendée;Vendée;"La Tardière";124;PM10;12;microg/m3;"moyenne journalière";V;2019-09-03;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-04;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-05;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-06;UTC
Vendée;Vendée;"La Tardière";124;PM10;9;microg/m3;"moyenne journalière";V;2019-09-07;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-09-08;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-09;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-09-10;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-11;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-12;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-13;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-14;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-09-15;UTC
Vendée;Vendée;"La Tardière";124;PM10;12;microg/m3;"moyenne journalière";V;2019-09-16;UTC
Vendée;Vendée;"La Tardière";124;PM10;12;microg/m3;"moyenne journalière";V;2019-09-17;UTC
Vendée;Vendée;"La Tardière";124;PM10;28;microg/m3;"moyenne journalière";V;2019-09-18;UTC
Vendée;Vendée;"La Tardière";124;PM10;22;microg/m3;"moyenne journalière";V;2019-09-19;UTC
Vendée;Vendée;"La Tardière";124;PM10;20;microg/m3;"moyenne journalière";V;2019-09-20;UTC
Vendée;Vendée;"La Tardière";124;PM10;13;microg/m3;"moyenne journalière";V;2019-09-21;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-09-22;UTC
Vendée;Vendée;"La Tardière";124;PM10;;;"moyenne journalière";;2019-09-23;UTC
Vendée;Vendée;"La Tardière";124;PM10;9;microg/m3;"moyenne journalière";V;2019-09-24;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-09-25;UTC
Vendée;Vendée;"La Tardière";124;PM10;17;microg/m3;"moyenne journalière";V;2019-09-26;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-09-27;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-09-28;UTC
Vendée;Vendée;"La Tardière";124;PM10;;;"moyenne journalière";;2019-09-29;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-09-30;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-01;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-10-02;UTC
Vendée;Vendée;"La Tardière";124;PM10;;;"moyenne journalière";;2019-10-03;UTC
Vendée;Vendée;"La Tardière";124;PM10;16;microg/m3;"moyenne journalière";V;2019-10-04;UTC
Vendée;Vendée;"La Tardière";124;PM10;11;microg/m3;"moyenne journalière";V;2019-10-05;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-06;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-07;UTC
Vendée;Vendée;"La Tardière";124;PM10;6;microg/m3;"moyenne journalière";V;2019-10-08;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-09;UTC
Vendée;Vendée;"La Tardière";124;PM10;6;microg/m3;"moyenne journalière";V;2019-10-10;UTC
Vendée;Vendée;"La Tardière";124;PM10;11;microg/m3;"moyenne journalière";V;2019-10-11;UTC
Vendée;Vendée;"La Tardière";124;PM10;16;microg/m3;"moyenne journalière";V;2019-10-12;UTC
Vendée;Vendée;"La Tardière";124;PM10;13;microg/m3;"moyenne journalière";V;2019-10-13;UTC
Vendée;Vendée;"La Tardière";124;PM10;9;microg/m3;"moyenne journalière";V;2019-10-14;UTC
Vendée;Vendée;"La Tardière";124;PM10;9;microg/m3;"moyenne journalière";V;2019-10-15;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-10-16;UTC
Vendée;Vendée;"La Tardière";124;PM10;;;"moyenne journalière";;2019-10-17;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-18;UTC
Vendée;Vendée;"La Tardière";124;PM10;4;microg/m3;"moyenne journalière";V;2019-10-19;UTC
Vendée;Vendée;"La Tardière";124;PM10;;;"moyenne journalière";;2019-10-20;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-21;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-22;UTC
Vendée;Vendée;"La Tardière";124;PM10;14;microg/m3;"moyenne journalière";V;2019-10-23;UTC
Vendée;Vendée;"La Tardière";124;PM10;9;microg/m3;"moyenne journalière";V;2019-10-24;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-10-25;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-10-26;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-10-27;UTC
Vendée;Vendée;"La Tardière";124;PM10;11;microg/m3;"moyenne journalière";V;2019-10-28;UTC
Vendée;Vendée;"La Tardière";124;PM10;15;microg/m3;"moyenne journalière";V;2019-10-29;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-10-30;UTC
Vendée;Vendée;"La Tardière";124;PM10;13;microg/m3;"moyenne journalière";V;2019-10-31;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-11-01;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-11-02;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-11-03;UTC
Vendée;Vendée;"La Tardière";124;PM10;8;microg/m3;"moyenne journalière";V;2019-11-04;UTC
Vendée;Vendée;"La Tardière";124;PM10;6;microg/m3;"moyenne journalière";V;2019-11-05;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-11-06;UTC
Vendée;Vendée;"La Tardière";124;PM10;7;microg/m3;"moyenne journalière";V;2019-11-07;UTC
Vendée;Vendée;"La Tardière";124;PM10;4;microg/m3;"moyenne journalière";V;2019-11-08;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-11-09;UTC
Vendée;Vendée;"La Tardière";124;PM10;9;microg/m3;"moyenne journalière";V;2019-11-10;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-11-11;UTC
Vendée;Vendée;"La Tardière";124;PM10;10;microg/m3;"moyenne journalière";V;2019-11-12;UTC
Vendée;Vendée;"La Tardière";124;PM10;11;microg/m3;"moyenne journalière";V;2019-11-13;UTC
Vendée;Vendée;"La Tardière";124;PM10;5;microg/m3;"moyenne journalière";V;2019-11-14;UTC
Vendée;Vendée;"La Tardière";124;PM10;11;microg/m3;"moyenne journalière";V;2019-11-15;UTC
